title,release_date,popularity,vote_average
Avatar: The Way of Water,2022-12-14,6789.789,7.7
Winnie the Pooh: Blood and Honey,2023-01-27,3258.54,5.9
Cocaine Bear,2023-02-22,2781.045,6.6
John Wick: Chapter 4,2023-03-22,2803.482,8.2
Puss in Boots: The Last Wish,2022-12-07,1531.792,8.3
Prizefighter: The Life of Jem Belcher,2022-06-30,1400.798,6.2
The Devil Conspiracy,2023-01-13,1280.108,6.4
Knock at the Cabin,2023-02-01,1192.041,6.4
Black Panther: Wakanda Forever,2022-11-09,1203.24,7.3
Cazadora,2023-01-19,1084.456,6.6
Plane,2023-01-12,1001.16,6.9
The Magician's Elephant,2023-03-10,923.055,7.4
Batman: The Doom That Came to Gotham,2023-03-10,978.014,6.3
John Wick: Chapter 2,2017-02-08,894.616,7.3
Money Shot: The Pornhub Story,2023-03-15,935.276,5.8
Sayen,2023-03-03,917.859,6.2
Consecration,2023-02-09,869.954,6.9
Supercell,2023-03-17,1249.672,6.1
John Wick: Chapter 5,,566.145,0
Creed III,2023-03-01,805.239,7.1
Die Hart,2023-02-22,801.171,6.2
Shark Side of the Moon,2022-08-12,800.669,5.3
John Wick: Chapter 3 - Parabellum,2019-05-15,795.388,7.4
The Forbidden Legend: Sex & Chopsticks 2,2009-03-04,929.318,6
Attack on Titan,2022-09-30,1056.236,6.4
Sick,2022-09-11,968.185,6.3
Black Warrant,2023-01-09,711.527,5.1
Shazam! Fury of the Gods,2023-03-15,720.071,6.9
Black Adam,2022-10-19,676.808,7.1
M3GAN,2022-12-28,643.456,7.4
13 Exorcisms,2022-11-04,612.385,5.6
Ant-Man and the Wasp: Quantumania,2023-02-15,623.758,6.3
The Super Mario Bros. Movie,2023-03-30,876.478,7
Shotgun Wedding,2022-12-28,571.325,6.3
Perfect Addiction,2023-02-16,802.067,6.4
Little Dixie,2023-02-03,570.582,6.1
Lord of the Streets,2022-04-22,580.235,5.2
John Wick,2014-10-22,534.017,7.4
Bandit,2022-09-23,550.764,6.1
The Exorcist,2022-11-02,725.392,7
A Man Called Otto,2022-12-28,469.664,7.9
Diabolik - Ginko Attacks,2022-11-17,486.956,5.7
¡Que Viva México!,2023-03-23,393.048,4.5
Fall,2022-08-11,476.606,7.3
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,421.827,8.3
The Last Heretic,2022-11-09,439.846,5.3
Mummies,2023-01-05,446.228,6.6
The Whale,2022-12-09,438.185,8
Avatar,2009-12-15,432.987,7.6
Gold Run,2022-12-15,578.721,6.5
Dungeons & Dragons: Honor Among Thieves,2023-03-24,412.073,7.9
JUNG_E,2023-01-20,394.392,6.3
Scream VI,2023-03-08,400.909,7.3
The Park,2023-03-02,546.854,6.7
Troll,2022-12-01,362.028,6.8
Huesera: The Bone Woman,2023-02-10,407.004,5.8
El último hombre sobre la Tierra,2022-12-22,461.389,5.5
Prey for the Devil,2022-10-23,355.019,7.2
There Are No Saints,2022-05-27,362.223,5.3
Roald Dahl's Matilda the Musical,2022-11-25,345.559,6.8
Legion of Super-Heroes,2023-02-07,370.555,6.4
All Quiet on the Western Front,2022-10-07,347.997,7.8
The Simpsons Meet the Bocellis in Feliz Navidad,2022-12-15,355.32,5.1
Noise,2023-03-17,271.212,5
Transfusion,2023-01-05,346.454,6.5
The Help,2011-08-09,478.577,8.2
Kompromat,2022-09-07,293.321,6.4
Spider-Man: No Way Home,2021-12-15,348.363,8
Scream,2022-01-12,326.209,6.7
Terrifier 2,2022-10-06,334.634,7
H.P. Lovecraft's Witch House,2022-06-29,465.06,5.4
In His Shadow,2023-03-17,318.974,6.2
Sniper: The White Raven,2022-05-03,330.58,7.6
Boston Strangler,2023-03-17,294.656,6.8
The Enforcer,2022-09-22,330.833,7.4
Suzume,2022-11-11,329.434,8.3
Top Gun: Maverick,2022-05-24,331.46,8.3
Big Trip 2: Special Delivery,2022-10-07,313.767,6.5
Devotion,2022-11-23,300.323,7.3
R.I.P.D. 2: Rise of the Damned,2022-11-15,314.66,6.6
Thor: Love and Thunder,2022-07-06,351.829,6.6
Medieval,2022-09-08,300.925,7.2
Hex,2022-11-01,323.453,6.1
Encanto at the Hollywood Bowl,2022-12-28,330.443,7.3
Doctor Strange in the Multiverse of Madness,2022-05-04,307.946,7.4
Violent Night,2022-11-30,314.255,7.6
The Woman King,2022-09-16,283.649,7.8
Dolphin Boy,2022-04-07,272.152,6.4
"Tango, Tequila and Some Lies",2023-03-09,292.267,7.6
Guillermo del Toro's Pinocchio,2022-11-09,296.664,8.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,287.546,7.1
Dragon Ball Super: Super Hero,2022-06-11,287.963,7.9
Four's a Crowd,2022-10-28,274.858,6.4
Prey,2022-08-02,300.661,7.8
Nocebo,2022-11-03,294.395,6.3
The Pope's Exorcist,2023-04-05,311.021,0
Unicorn Wars,2022-10-21,287.217,6.4
Sonic the Hedgehog 2,2022-04-08,312.316,7.6
Fast X,2023-05-17,285.355,0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019-03-29,269.401,7.9
Close,2022-11-01,251.809,7.8
A Frozen Rooster,2022-12-14,257.454,7.9
Avengers: Infinity War,2018-04-25,241.654,8.3
On the Count of Three,2022-05-13,260.107,6.7
Jurassic World Dominion,2022-06-01,273.01,6.9
Magic Mike's Last Dance,2023-02-09,344.522,7.2
Detective Knight: Independence,2023-01-20,261.443,5.6
Jujutsu Kaisen 0,2021-12-24,240.453,8.2
Sisu,2023-01-27,260.809,7.2
Prancer: A Christmas Tale,2022-11-22,229.049,5.9
Ghosts of the Ozarks,2022-02-04,248.18,6.3
Strange World,2022-11-23,244.339,6.5
Shazam!,2019-03-29,251.076,7
Everything Everywhere All at Once,2022-03-24,249.478,7.9
65,2023-03-02,245.756,5.6
Project Gemini,2022-01-06,255.29,5.8
The Boss Baby: Christmas Bonus,2022-12-06,234.737,6.8
Still Time,2023-03-16,245.199,6.5
Pinball: The Man Who Saved the Game,2023-03-17,303.443,7.9
Barbie: Skipper and the Big Babysitting Adventure,2023-03-03,241.307,7.2
Venus,2022-12-02,246.952,5.5
Brothers,2009-01-22,228.987,7.3
My Name Is Vendetta,2022-11-30,243.227,6.8
3-D Sex and Zen: Extreme Ecstasy,2011-04-14,226.814,4.8
"Lyle, Lyle, Crocodile",2022-10-07,232.063,7.5
Babylon,2022-12-22,230.487,7.5
Smile,2022-09-23,229.796,6.8
Encanto,2021-10-13,197.513,7.7
Glass Onion: A Knives Out Mystery,2022-11-23,191.386,7.1
RRR,2022-03-24,229.219,7.8
Creed II,2018-11-21,216.483,7
Bullet Train,2022-07-03,220.049,7.5
Minions: The Rise of Gru,2022-06-29,221.298,7.5
Turning Red,2022-03-10,221.009,7.5
The Offering,2022-09-23,202.274,5.7
The Batman,2022-03-01,226.362,7.7
The Price We Pay,2023-01-13,201.947,6
A Female Employee's Taste,2018-05-28,210.227,4.9
Beast,2022-08-11,216.558,6.8
Orgasm Inc: The Story of OneTaste,2022-11-05,210.271,6.5
Kids vs. Aliens,2023-01-20,209.447,5.9
Venom: Let There Be Carnage,2021-09-30,182.27,6.9
Luther: The Fallen Sun,2023-02-24,198.489,6.9
My Hero Academia: World Heroes' Mission,2021-08-06,205.051,7.6
Control,2022-09-23,165.127,5.4
Savage Salvation,2022-12-02,194.322,6.6
Hacksaw Ridge,2016-10-07,169.956,8.2
Candy Land,2023-01-06,180.533,6.5
Sinner: The Secret Diary of a Nymphomaniac,1973-06-21,167.359,4.9
Shrek,2001-05-18,187.005,7.7
Evil Dead Rise,2023-04-19,192.548,0
Blade of the 47 Ronin,2022-10-25,194.746,6.7
Teen Wolf: The Movie,2023-01-18,199.421,7.8
Luck,2022-08-05,199.174,7.9
The Big 4,2022-12-19,175.771,7.1
Shark Bait,2022-05-13,183.32,5.9
Sing 2,2021-12-01,178.828,8
Jeepers Creepers: Reborn,2022-09-15,222.838,5.8
Lupin The 3rd vs. Cat’s Eye,2023-01-26,197.557,6
Love at First Kiss,2023-03-03,167.565,6.2
Out of the Blue,2022-08-26,180.349,4.7
Balik Taya,2023-03-31,206.496,2
Harry Potter and the Goblet of Fire,2005-11-16,172.768,7.8
Six Swedish Girls in Alps,1983-07-22,127.203,5.3
Naked Rashomon,1973-07-04,156.342,6.7
The Quintessential Quintuplets Movie,2022-05-20,177.959,8.5
Creed,2015-11-25,178.899,7.4
Matadero,2022-12-09,163.82,3
Temptation of Aunt 2,2019-07-05,151.207,5.3
Night at the Museum: Kahmunrah Rises Again,2022-12-09,163.117,6.9
Harry Potter and the Philosopher's Stone,2001-11-16,174.504,7.9
Detective Knight: Rogue,2022-10-21,180.214,6.6
Office Love: Behind Closed Doors,1985-07-20,174.32,4.4
Harry Potter and the Chamber of Secrets,2002-11-13,169.272,7.7
Disenchanted,2022-11-18,167.502,7
Inspector Sun and the Curse of the Black Widow,2022-12-28,161.759,6.8
Harry Potter and the Half-Blood Prince,2009-07-07,173.343,7.7
DC League of Super-Pets,2022-07-27,168.315,7.4
The Lair,2022-10-28,180.01,5.9
Evil Eye,2022-09-22,157.833,6.8
Cop Secret,2022-05-23,183.832,6.1
Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,160.364,6.8
After Ever Happy,2022-08-24,165.091,6.9
The Lost City,2022-03-24,175.374,6.6
Transformers: Rise of the Beasts,2023-06-07,166.143,0
Zack Snyder's Justice League,2021-03-18,149.497,8.2
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,2022-09-30,157.182,6.1
Wolf Hound,2022-06-03,169.372,6.6
The Avengers,2012-04-25,151.156,7.7
Malcriados,2023-02-15,178.526,7.8
Harry Potter and the Prisoner of Azkaban,2004-05-31,154.024,8
Polar,2022-10-26,176.751,6.6
Viking Wolf,2022-11-18,163.562,5.7
The Good Dinosaur,2015-11-14,145.88,6.8
Hotel Transylvania: Transformania,2022-02-25,163.597,7.1
Abandoned,2022-06-17,149.582,6.3
The Next 365 Days,2022-08-19,159.05,6.5
Fullmetal Alchemist: The Final Alchemy,2022-06-24,154.693,6.3
Fifty Shades Freed,2018-01-17,154.48,6.7
Fifty Shades of Grey,2015-02-11,144.964,5.9
The Ledge,2022-02-18,160.141,6.6
20th Century Girl,2022-10-06,151.209,8.3
The Good Neighbor,2022-06-17,142.861,7.1
The Library Boys,2022-11-29,136.655,4.3
Luz Mala,2022-11-17,176.874,4.3
